id,tweetid,guid,link,author,title,description,pubdate,source,favorite_count,retweet_count,lang,quoted_text,tweet_type,in_reply_to_screen_name,in_reply_to_user_id,in_reply_to_status_id,retweeted_screen_name,retweeted_user_id,retweeted_status_id,user_id,profile_image_url,user_statuses_count,user_friends_count,user_followers_count,user_created_at,user_bio,user_location,user_verified,
154,1591104892159938563,"https://twitter.com/thestoicbeing/statuses/1591104892159938563","https://twitter.com/thestoicbeing/statuses/1591104892159938563","thestoicbeing","Patience is bitter, but it’s fruit sweet - Aristotle. #stoicism #stoic #stoicminded #patience #ElonMusk","Patience is bitter, but it’s fruit sweet - Aristotle. #stoicism #stoic #stoicminded #patience #ElonMusk","2022-11-11 11:25:42","Twitter for iPhone",0,0,"en","","original","",0,0,"",0,0,1388567222373830661,"https://pbs.twimg.com/profile_images/1591106685879336960/Lvhav4gD_normal.jpg",16,12,4,"2021-05-01 14:53:30","Taking life one step at a time, engaging your thoughts so your actions are pure.","Ancient Greece","",
155,1591100593925496834,"https://twitter.com/GuruStoicism/statuses/1591100593925496834","https://twitter.com/GuruStoicism/statuses/1591100593925496834","GuruStoicism","RT @NilTaskin: 1/2 Don\'t just say you have read books. show that through them you have learned to think better, to be a more discriminating…","1/2 Don\'t just say you have read books. show that through them you have learned to think better, to be a more discriminating and reflective person.   #QuoteOTheDay #Quote #FridayFeeling #Epictetus #Stoicism #Stoic","2022-11-11 11:08:37","Stoicism",0,1,"en","","retweet","",0,0,"NilTaskin",34565572,1591075599983976448,1341049303595438080,"https://pbs.twimg.com/profile_images/1341049628368769033/0Sz0DRLj_normal.jpg",10375,3233,1653,"2020-12-21 10:54:10","Follow us and we will retweet your stoic quotes. Community for stoics.","","",
156,1591099989039910912,"https://twitter.com/ElKhairull/statuses/1591099989039910912","https://twitter.com/ElKhairull/statuses/1591099989039910912","ElKhairull","Ada hal yang berada dalam kendali kita Ada juga hal yang tidak berada pada kendali kita (Epictetus)  #filsuf #filsafat #seneca #stoa #stoic #stoisisme #stoicism https://t.co/59aRphdyjM","Ada hal yang berada dalam kendali kita Ada juga hal yang tidak berada pada kendali kita (Epictetus)  #filsuf #filsafat #seneca #stoa #stoic #stoisisme #stoicism https://t.co/59aRphdyjM","2022-11-11 11:06:13","Twitter for Android",1,0,"in","","original","",0,0,"",0,0,1588558965117706240,"https://pbs.twimg.com/profile_images/1589727045281812480/rTa70b9A_normal.jpg",52,153,16,"2022-11-04 11:49:18","Buku Filsafat Dan Logika •➡️ https://t.co/k8ihh4uPQu","","",
157,1591086332633284608,"https://twitter.com/EDCReminderCoin/statuses/1591086332633284608","https://twitter.com/EDCReminderCoin/statuses/1591086332633284608","EDCReminderCoin","Be careful what you think because your thoughts run your life. #edcremindercoins  #stoicism #stoic https://t.co/wyNQ2xax2e","Be careful what you think because your thoughts run your life. #edcremindercoins  #stoicism #stoic https://t.co/wyNQ2xax2e","2022-11-11 10:11:57","Twitter for iPhone",1,0,"en","","original","",0,0,"",0,0,963423112787349504,"https://pbs.twimg.com/profile_images/1266289486603751424/3t_Ccs3__normal.jpg",163,1518,376,"2018-02-13 09:42:24","Life quotes engraved on high quality metal for a whole life keep. 100% minted in the USA.","United States","",
158,1591078164297834496,"https://twitter.com/AlaniKuye/statuses/1591078164297834496","https://twitter.com/AlaniKuye/statuses/1591078164297834496","AlaniKuye","“Until we have begun to go without them, we fail to realize how unnecessary many things are. We\'ve been using them not because we needed them but because we had them.” ― Lucius Annaeus Seneca, Letters from a Stoic #stoicism #dailystoic #fridaymorning","“Until we have begun to go without them, we fail to realize how unnecessary many things are. We\'ve been using them not because we needed them but because we had them.” ― Lucius Annaeus Seneca, Letters from a Stoic #stoicism #dailystoic #fridaymorning","2022-11-11 09:39:29","Twitter Web App",0,0,"en","","original","",0,0,"",0,0,1463265515304939530,"https://pbs.twimg.com/profile_images/1463265600948428802/k_ikpyKL_normal.jpg",455,104,352,"2021-11-23 16:57:59","Titan | Web3 | 🌍 TPM @akashnet_ | Self-sovereign | Interoperability + Decentralization | 2 x Exits | Opinions my own | DFWM","","",
159,1591075599983976448,"https://twitter.com/NilTaskin/statuses/1591075599983976448","https://twitter.com/NilTaskin/statuses/1591075599983976448","NilTaskin","1/2 Don\'t just say you have read books. show that through them you have learned to think better, to be a more discriminating and reflective person.   #QuoteOTheDay #Quote #FridayFeeling #Epictetus #Stoicism #Stoic","1/2 Don\'t just say you have read books. show that through them you have learned to think better, to be a more discriminating and reflective person.   #QuoteOTheDay #Quote #FridayFeeling #Epictetus #Stoicism #Stoic","2022-11-11 09:29:18","Twitter Web App",2,1,"en","","original","",0,0,"",0,0,34565572,"https://pbs.twimg.com/profile_images/1514353239298383878/18LY--eO_normal.jpg",2141,2066,4077,"2009-04-23 04:10:27","Anthropologist, Storyteller, Entrepreneur. Founder of @NewYorkDesignST @TaskinsNYC https://t.co/syo3cbSRkI https://t.co/eOhDmnHxtx","New York, NY","",
160,1591073762056830978,"https://twitter.com/TheStrongStoic/statuses/1591073762056830978","https://twitter.com/TheStrongStoic/statuses/1591073762056830978","TheStrongStoic","Progress takes time. No meaningful change happens overnight.   #stoic #stoicism #philosophy #selfhelp","Progress takes time. No meaningful change happens overnight.   #stoic #stoicism #philosophy #selfhelp","2022-11-11 09:22:00","Twitter Web App",2,0,"en","","original","",0,0,"",0,0,1320370051111858178,"https://pbs.twimg.com/profile_images/1477050373579935745/bRYqv02g_normal.jpg",1520,661,315,"2020-10-25 10:22:18","Host @ The Strong Stoic Podcast, strength coach, athlete, engineer, writer.","Halifax, Nova Scotia","",
161,1591070073275523073,"https://twitter.com/StoicSolutions/statuses/1591070073275523073","https://twitter.com/StoicSolutions/statuses/1591070073275523073","StoicSolutions","""I have noticed that relating the theories to my life and the obstacles I face on a daily basis has helped me understand and implement them in my life — so I implore you to do the same.""  https://t.co/rjC93qeKAg  #Stoic #Stoicism #StoicPhilosophy #Psychology #Philosophy","""I have noticed that relating the theories to my life and the obstacles I face on a daily basis has helped me understand and implement them in my life — so I implore you to do the same.""  https://t.co/rjC93qeKAg  #Stoic #Stoicism #StoicPhilosophy #Psychology #Philosophy","2022-11-11 09:07:20","Twitter for Android",1,0,"en","","original","",0,0,"",0,0,973735977016594434,"https://pbs.twimg.com/profile_images/980603498889805824/S12QPXGX_normal.jpg",1003,161,1467,"2018-03-13 21:42:02","Practical wisdom inspired by Philosophers of Ancient Greece, Rome  #Stoicism #Stoic #Philosophy #StoicPhilosophy  Other accounts: @justinvacula @hgtravelpodcast","Bensalem, PA","",
162,1591067993764925440,"https://twitter.com/terencedaniels/statuses/1591067993764925440","https://twitter.com/terencedaniels/statuses/1591067993764925440","terencedaniels","Use your tweets to share stoic quotes and teachings with others. This is a great way to help people learn more about stoicism and how it can benefit them.  https://t.co/1VjbEIn8vq","Use your tweets to share stoic quotes and teachings with others. This is a great way to help people learn more about stoicism and how it can benefit them.  https://t.co/1VjbEIn8vq","2022-11-11 08:59:04","FeedHive.io",0,0,"en","","reply","terencedaniels",291517460,1591067956984922114,"",0,0,291517460,"https://pbs.twimg.com/profile_images/1592013072113324032/jAolRuGD_normal.png",14103,670,710,"2011-05-02 00:27:49","⛳️Ex-Pro | Startup Advisor, supporting undiscovered founders @knowcapio | 🤖Customer Success @heyjasperai | Scaling @thenormgroup to $10k/MRR solo-bootstrapped","👉🏾","",
163,1591056696952385538,"https://twitter.com/ultra_unlikely/statuses/1591056696952385538","https://twitter.com/ultra_unlikely/statuses/1591056696952385538","ultra_unlikely","@DonJRobertson I would be all in on this one. You never know which random piece will hit someone differently and encourage a trip down the stoic rabbit hole for someone new to #stoicism . The other two options are great for those already deep in the hole.","@DonJRobertson I would be all in on this one. You never know which random piece will hit someone differently and encourage a trip down the stoic rabbit hole for someone new to #stoicism . The other two options are great for those already deep in the hole.","2022-11-11 08:14:11","Twitter for iPhone",1,0,"en","","reply","DonJRobertson",202686820,1591052142202490880,"",0,0,1390309269099085827,"https://pbs.twimg.com/profile_images/1394329320399675392/5Ceg0rAy_normal.jpg",304,52,1,"2021-05-06 10:15:43","","","",
